Test PPN Nodes MinMBps MaxMBps AvgMBps AggGBps
ramdisk 1 1 535.54 535.54 535.54 0.52298828125
ramdisk 2 1 258.84 258.84 258.84 0.505546875
ramdisk 3 1 172.59 172.59 172.59 0.505625
ramdisk 4 1 131.29 174.54 145.02 0.566474609375
ramdisk 9 1 57.74 77.78 65.24 0.57341796875
ramdisk 10 1 52.00 70.81 58.31 0.56943359375
ramdisk 11 1 47.31 82.03 57.87 0.62162109375
ramdisk 13 1 40.03 64.98 46.34 0.58826171875
ramdisk 14 1 37.10 55.66 43.28 0.59173828125
ramdisk 15 1 34.62 62.20 43.93 0.643515625
ramdisk 16 1 32.42 53.61 37.97 0.593349609375
ramdisk 17 1 27.99 96.15 36.11 0.599453125
ramdisk 18 1 26.30 61.78 34.53 0.607021484375
ramdisk 19 1 25.05 111.52 35.69 0.66212890625
ramdisk 20 1 23.67 33.82 26.88 0.52505859375
ramdisk 21 1 22.71 96.77 34.78 0.71328125
ramdisk 22 1 21.52 41.79 26.14 0.561650390625
ramdisk 23 1 20.64 84.67 30.59 0.687060546875
ramdisk 24 1 19.72 33.79 23.17 0.5431640625
ramdisk 25 1 19.10 76.14 37.36 0.912080078125
ramdisk 26 1 18.21 26.75 21.26 0.539873046875
ramdisk 27 1 17.61 65.48 26.39 0.695751953125
ramdisk 28 1 16.90 35.45 22.38 0.6119140625
ramdisk 29 1 16.41 96.76 22.30 0.631552734375
ramdisk 30 1 15.78 39.43 19.85 0.58150390625
ramdisk 31 1 15.35 85.30 21.76 0.658623046875
ramdisk 32 1 14.79 25.77 18.77 0.5864453125
ramdisk 33 1 9.90 197.64 23.90 0.77037109375
ramdisk 34 1 9.64 105.43 18.70 0.620830078125
ramdisk 35 1 9.33 67.99 15.34 0.52431640625
ramdisk 36 1 8.95 43.40 13.58 0.47740234375
ramdisk 37 1 8.83 80.14 16.97 0.61330078125
ramdisk 38 1 8.60 63.18 18.26 0.677568359375
ramdisk 39 1 8.38 59.79 19.07 0.72626953125
ramdisk 40 1 8.05 43.28 15.48 0.604658203125
ramdisk 41 1 7.93 138.96 19.23 0.7698828125
ramdisk 42 1 7.76 43.28 13.50 0.5537109375
ramdisk 43 1 7.61 63.45 15.23 0.6395703125
ramdisk 44 1 7.36 32.65 12.51 0.53759765625
ramdisk 45 1 7.19 96.50 13.35 0.586708984375
ramdisk 46 1 7.05 37.93 12.28 0.551455078125
ramdisk 47 1 6.91 27.02 11.01 0.505498046875
ramdisk 48 1 6.71 94.90 14.67 0.6876171875
ramdisk 49 1 6.71 162.32 13.75 0.657919921875
ramdisk 50 1 6.55 51.84 11.56 0.564638671875
ramdisk 51 1 6.41 35.19 11.02 0.548642578125
ramdisk 52 1 6.17 36.43 12.33 0.626015625
ramdisk 53 1 6.12 138.88 15.12 0.78236328125
ramdisk 54 1 6.06 32.81 11.24 0.592685546875
ramdisk 55 1 5.97 41.39 11.85 0.636484375
ramdisk 56 1 5.81 33.92 9.87 0.53953125
